ID,name,name_short,type,birth year,sex,hair,skin,place of birth,nationality,ethnicity,follower_insta,follower_tiktok,market_cap,season_gntm,place_gntm
jw,Jacqueline Sarah Wruck,Jacky Wruck,model,1998,weiblich,brown,light,Rheingau-Taunus,german,,240,5.4,,15,1
bullsmgmt,Bulls Management,,agency,,,,,,,,,,,,
paulmitchell,Paul Mitchell,,cooperation,,,,,,,,,,,,
fruehling,Frühling,,tv,,,,,,,,,,,,
kerastase,Kerastase,,cooperation,,,,,,,,,,,,
samuelgaertner,Sameul Gärtner,,cooperation,,,,,,,,,,,,
Fashionweek_Berlin,Fashion Week Berlin,,fashion show,,,,,,,,,,,,
SchöheitvorAlter,Jacky und Harry Schönheit vor Alter,Schönheit vor Alter,podcast,,,,,,,,,,,,
veto,Veto Tierschutz,,nonprofit,,,,,,,,,,,,
sp,Sarah Posch,,model,1999,weiblich,braun,light,Vorau,austrian,,320,250,,15,2
moevir,Moevir,,magazine,,,,,,,,,,,,
lofficiel_Baltic,L'officiel Baltic,,magazine,,,,,,,,,,,,
munichmodels,Munich Models,,agency,,,,,,,,,,,,
Fashionweek_Canada,Fashion Week Canada,,fashion show,,,,,,,,,,,,
mu,Maureen Ugodi,,model,2000,weiblich,braun,dark,Wien,austrian,nigerian,170,100,,15,3
tezenis,Tezenis,,cooperation,,,,,,,,,,,,
lemanagement,Le Management,,agency,,,,,,,,,,,,
bodylondon,Body London,,agency,,,,,,,,,,,,
GNTM,Germany's Next Topmodel,,tv,,,,,,,,,,,,
OneEins,ONEeins fab Management,One Eins fab,agency,,,,,,,,,,,,
Instagram,Instagram,Insta,social media,,,,,,,,,,,,
Tiktok,Tiktok,TikTok,social media,,,,,,,,,,,,
