from,to,year,relationship,sector,tv
aa,GNTM,2010,candidate,tv show,Pro7
aa,OneEins,2010,contract,modeling,
aa,eskimomodels,2011,contract,modeling,
aa,eskimomodels,2012,contract,modeling,
aa,eskimomodels,2013,contract,modeling,
aa,eskimomodels,2014,contract,modeling,
aa,eskimomodels,2015,contract,modeling,
aa,eskimomodels,2016,contract,modeling,
aa,eskimomodels,2017,contract,modeling,
aa,eskimomodels,2018,contract,modeling,
aa,eskimomodels,2019,contract,modeling,
aa,eskimomodels,2020,contract,modeling,
aa,eskimomodels,2021,contract,modeling,
aa,eskimomodels,2022,contract,modeling,
aa,citymodels,2011,contract,modeling,
aa,citymodels,2012,contract,modeling,
aa,citymodels,2013,contract,modeling,
aa,citymodels,2014,contract,modeling,
aa,citymodels,2015,contract,modeling,
aa,citymodels,2016,contract,modeling,
aa,citymodels,2017,contract,modeling,
aa,citymodels,2018,contract,modeling,
aa,citymodels,2019,contract,modeling,
aa,citymodels,2020,contract,modeling,
aa,citymodels,2021,contract,modeling,
aa,citymodels,2022,contract,modeling,
aa,redmodels,2014,contract,modeling,
aa,redmodels,2015,contract,modeling,
aa,musemodels,2019,contract,modeling,
aa,parsmanagement,,contract,modeling,
aa,elitemodels,,contract,modeling,
aa,francinamodels,,contract,modeling,
aa,themanagementnyc,,contract,modeling,
aa,lippsla,,contract,modeling,
aa,munichmodels,,contract,modeling,
aa,fabriccamilano,,contract,modeling,
aa,Fashionweek_Newyork,2012,model,modeling,
aa,armani,2018,model,modeling,
aa,armani,2018,model,advertisement,
aa,vogue_Italy,2013,model,modeling,
aa,Fashionweek_Milan,2013,model,modeling,
aa,marieclaire,2014,model,modeling,
aa,Fashionweek_Australia,2014,model,modeling,
aa,zanabayne,2014,model,modeling,
aa,Fashionweek_Newyork,2014,model,modeling,
aa,uniqlocore,2014,model,advertisement,
aa,Fashionweek_Newyork,2015,model,modeling,
aa,josienatori,2015,model,modeling,
aa,marieclaire,2015,model,modeling,
aa,Fashionweek_Newyork,2015,model,modeling,
aa,Fashionweek_Newyork,2016,model,modeling,
aa,Fashionweek_Newyork,2016,model,modeling,
aa,philippplein,2017,model,modeling,
aa,Fashionweek_Milan,2017,model,modeling,
aa,Fashionweek_Paris,2017,model,modeling,
aa,Fashionweek_Newyork,2017,model,modeling,
aa,Fashionweek_Milan,2018,model,modeling,
aa,Fashionweek_Paris,2018,model,modeling,
aa,Fashionweek_Paris,2018,model,modeling,
aa,Fashionweek_Milan,2018,model,modeling,
aa,Fashionweek_Newyork,2019,model,modeling,
aa,Fashionweek_Newyork,2019,model,modeling,
aa,veronicabeard,2019,model,advertisement,
aa,Fashionweek_Newyork,2019,model,modeling,
aa,Fashionweek_Paris,2020,model,modeling,
aa,Fashionweek_Newyork,2021,model,modeling,
aa,harpersbazaar_Vietnam,2021,model,modeling,
aa,Fashionweek_Newyork,2022,model,modeling,
aa,Fashionweek_Newyork,2022,model,modeling,
hb,GNTM,2010,candidate,tv show,Pro7
hb,OneEins,2010,contract,modeling,
hb,OneEins,2011,contract,modeling,
hb,textilmodedesign,,student,university,
hb,theologie,,student,university,
lwe,GNTM,2010,contract,tv show,Pro7
lwe,ModelsimBabyglueck,2016,actor,tv show,RTL2
lwe,ihelpbecauseican,2022,founder,health,
lwe,becomealive,2014,founder,health,
lwe,becomealive,2015,founder,health,
lwe,becomealive,2016,founder,health,
lwe,becomealive,2017,founder,health,
lwe,becomealive,2018,founder,health,
lwe,becomealive,2019,founder,health,
lwe,becomealive,2020,founder,health,
lwe,becomealive,2021,founder,health,
lwe,becomealive,2022,founder,health,
