ID,name,name_short,type,birth year,sex,hair,skin,place of birth,nationality,ethnicity,follower_insta,follower_tiktok,market_cap,season_gntm,place_gntm
aa,Alisar Ailabouni,Alisar Ailabouni,model,1989,weiblich,brown,medium,Damaskus,austrian,syrian,26,206,,5,1
eskimomodels,Eskimo Models,,agency,,,,,,,,,,,,
citymodels,City Models Paris,City models,agency,,,,,,,,,,,,
Fashionweek_Newyork,Fashion Week New York ,Fashion Week NY,fashion show,,,,,,,,,,,,
armani,Emperio Armani,Armani,cooperation,,,,,,,,,,,,
redmodels,Red Models,,agency,,,,,,,,,,,,
musemodels,Muse Models,,agency,,,,,,,,,,,,
parsmanagement,PARS Management,,agency,,,,,,,,,,,,
elitemodels,Elite Models,,agency,,,,,,,,,,,,
themanagementnyc,the Management NYC,,agency,,,,,,,,,,,,
francinamodels,Francina Models,,agency,,,,,,,,,,,,
lippsla,Lipps LA,,agency,,,,,,,,,,,,
munichmodels,Munich Models,,agency,,,,,,,,,,,,
fabriccamilano,Fabricca Milano,,agency,,,,,,,,,,,,
vogue_Italy,Vogue Italy,,magazine,,,,,,,,,,,,
marieclaire,Marie Claire US,,magazine,,,,,,,,,,,,
Fashionweek_Australia,Fashion Week Australia,,fashion show,,,,,,,,,,,,
zanabayne,Zana Bayne,,cooperation,,,,,,,,,,,,
philippplein,Philipp Plein,,cooperation,,,,,,,,,,,,
Fashionweek_Milan,Fashion Week Milan,,fashion show,,,,,,,,,,,,
josienatori,Josie Natori,,cooperation,,,,,,,,,,,,
uniqlocore,Uniqlo Core,,brand,,,,,,,,,,,,
Fashionweek_Paris,Fashion Week Paris,,fashion show,,,,,,,,,,,,
harpersbazaar_Vietnam,Harper's Bazaar Vietnam,,magazine,,,,,,,,,,,,
veronicabeard,Veronica Beard,,cooperation,,,,,,,,,,,,
hb,Hanna Bohnekamp,,model,1992,weiblich,red,light,Duesseldorf,german,,30,,,5,1
textilmodedesign,Textilmodedesign,,education,,,,,,,,,,,,
theologie,Theologie,,education,,,,,,,,,,,,
lw,Laura Weyel,,model,1987,weiblich,blonde,light,Drevenack,german,,20,,,5,1
ModelsimBabyglueck,Models im Babyglück,,tv,,,,,,,,,,,,
ihelpbecauseican,i help because i can,,nonprofit,,,,,,,,,,,,
becomealive,becomealive,,brand,,,,,,,,,,,,
GNTM,Germany's Next Topmodel,,tv,,,,,,,,,,,,
OneEins,ONEeins fab Management,One Eins fab,agency,,,,,,,,,,,,
