from,to,year,relationship,sector,tv
vf,GNTM,2015,candidate,tv show,Pro7
vf,OneEins,2015,contract,modeling,
vf,OneEins,2016,contract,modeling,
vf,OneEins,2017,contract,modeling,
vf,EnzioM,2020,contract,modeling,
vf,EnzioM,2021,contract,modeling,
vf,EnzioM,2022,contract,modeling,
vf,elitemodels,2020,contract,modeling,
vf,elitemodels,2021,contract,modeling,
vf,elitemodels,2022,contract,modeling,
vf,monstermanagement,2020,contract,modeling,
vf,monstermanagement,2021,contract,modeling,
vf,monstermanagement,2022,contract,modeling,
vf,karinmodels,2020,contract,modeling,
vf,karinmodels,2021,contract,modeling,
vf,karinmodels,2022,contract,modeling,
vf,issue_Southamerica,2020,model,modeling,
vf,lofficiel_Brasil,2020,model,modeling,
vf,harpersbazaar_Vietnam,2021,model,modeling,
vf,lofficiel_Italy,2021,model,modeling,
vf,Fashionweek_Newyork,2021,model,modeling,
vf,Fashionweek_Newyork,2022,model,modeling,
vf,marieclaire_Arabia,2022,model,modeling,
vf,Fashionweek_Newyork,2022,model,modeling,
vf,Instagram,2015,influencer,social media,
vf,Instagram,2016,influencer,social media,
vf,Instagram,2017,influencer,social media,
vf,Instagram,2018,influencer,social media,
vf,Instagram,2019,influencer,social media,
vf,Instagram,2020,influencer,social media,
vf,Instagram,2012,influencer,social media,
vf,Instagram,2022,influencer,social media,
ap,GNTM,2015,candidate,tv show,Pro7
ap,OneEins,2015,contract,modeling ,
ap,OneEins,2016,contract,modeling ,
ap,OneEis,2017,contract,modeling ,
ap,cro,2017,actor,music video,
ap,cro,2017,love,,
ap,rk,2018,love,,
ap,rk,2019,love,,
ap,rk,2020,love,,
ap,Fashionweek_Bangkok,2018,model,modeling,
ap,letsfacereality,2018,,tv show,
ap,Instagram,2015,influencer,social media,
ap,Instagram,2016,influencer,social media,
ap,Instagram,2017,influencer,social media,
ap,Instagram,2018,influencer,social media,
ap,Instagram,2019,influencer,social media,
ap,Instagram,2020,influencer,social media,
ap,Instagram,2012,influencer,social media,
ap,Instagram,2022,influencer,social media,
as,GNTM,2015,candidate,tv show,Pro7
as,twomanagement,2020,contract,agency,
as,twomanagement,2021,contract,agency,
as,twomanagement,2022,contract,agency,
as,documentjournal,2020,model,modeling,
as,numero_Netherlands,2020,model,modeling,
as,numero_Berlin,2021,model,modeling,
as,mixte_Paris,2021,model,modeling,
as,mixte,2021,model,modeling,
as,eckenundkanten,2021,model,modeling,
as,numero_Berlin,2021,model,modeling,
as,tush,2022,model,modeling,
as,lofficiel_Malaysia,2022,model,modeling,
